Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Pilot,"An ex-lawyer is forced to return to community college to get a degree. However, he tries to use the skills he learned as a lawyer to get the answers to all his tests and pick up on a sexy woman in his Spanish class.",17 Sep. 2009,7.6,"(5,114)"
1,2,Spanish 101,"Jeff takes steps to ensure that Britta will be his partner in Spanish class, but winds up with Pierce instead.",24 Sep. 2009,7.7,"(4,447)"
1,3,Introduction to Film,"Britta comes between Abed and his father when she signs him up for a film class, and Jeff risks failing a class unless he ""seizes the day.""",1 Oct. 2009,8.1,"(4,387)"
1,4,Social Psychology,"Jeff and Shirley bond by making fun of Britta's new hippie boyfriend, which doesn't go well for any involved. Meanwhile, Troy and Abed become pawns in Annie's psychology experiment.",8 Oct. 2009,8.0,"(4,041)"
1,5,Advanced Criminal Law,"Señor Chang is on the hunt for a cheater and threatens to fail the entire class if the culprit doesn't come forward. When someone confesses, Jeff comes to their defense. Meanwhile, Annie recruits Pierce to write the new school song.",15 Oct. 2009,7.7,"(3,873)"
1,6,"Football, Feminism and You","Jeff talks Troy into playing for the college's football team, sparking Annie's anger. Pierce helps the dean come up with a new mascot, and Britta tries to become Shirley's bathroom friend.",22 Oct. 2009,7.6,"(3,810)"
1,7,Introduction to Statistics,Will Jeff blow off Annie's Halloween party and sell out his other classmates in order to get a chance to score with a sexy professor?,29 Oct. 2009,8.6,"(4,434)"
1,8,Home Economics,"When Jeff loses his home and his car, he is forced to move into Abed's dorm room. Troy has a big date, but why is a jealous Annie trying to help? Meanwhile, Pierce becomes the keyboardist for Vaughn's band.",5 Nov. 2009,7.8,"(3,725)"
1,9,Debate 109,"Jeff reluctantly agrees to be Annie's debate partner, Britta humors Pierce by letting him try hypnotherapy on her to get her to stop smoking, and the gang begins to think that Abed's films may predict their future.",12 Nov. 2009,8.7,"(4,479)"
1,10,Environmental Science,"Jeff hangs out with Senor Chang to get out of an essay, angering the rest of the group. Meanwhile, Abed and Troy search for their missing lab mouse, and Pierce helps Shirley out with a presentation.",19 Nov. 2009,8.1,"(3,773)"
1,11,Politics of Human Sexuality,"Annie helps the dean put on an ""STD Fair,"" but doesn't want to perform an embarrassing demonstration. Meanwhile Jeff finds a companion for a double date with Pierce, and Troy finds out that Abed is a better athlete than him.",3 Dec. 2009,7.8,"(3,619)"
1,12,Comparative Religion,"Shirley throws a Christmas party for the gang and much to her surprise learns her classmates come from various religious backgrounds. Meanwhile, Jeff is challenged by the school bully and faces the reality that he may fail Spanish 101.",10 Dec. 2009,8.3,"(3,904)"
1,13,Investigative Journalism,"The gang decides not to let an obnoxious student from their Spanish class into the study group. The dean appoints Jeff as editor of the student paper, where Annie is working on a story that could expose the dean as a racist.",14 Jan. 2010,7.9,"(3,743)"
1,14,Interpretive Dance,"Jeff runs in to problems when the study group and the dean discover that he's seeing a professor, while Troy and Britta discover each other's secret that they are both taking dance classes.",21 Jan. 2010,7.8,"(3,557)"
1,15,Romantic Expressionism,"When Annie starts hanging out with Britta's ex-boyfriend Vaughn, Britta and Jeff vow to protect her. Meanwhile, Pierce feels left out at Troy and Abed's movie night.",4 Feb. 2010,8.0,"(3,551)"
1,16,Communication Studies,"Jeff sets out to fix his relationship with Britta after things get awkward with a drunken phone call. Meanwhile, Annie and Shirley make plans to humiliate Señor Chang in order to defend Troy and Pierce's dignity.",11 Feb. 2010,8.4,"(3,702)"
1,17,Physical Education,"Jeff refuses to participate in a pool class because the teacher forces him to play in gym shorts, and the study group discovers a white version of Abed at the college.",4 Mar. 2010,8.9,"(4,597)"
1,18,Basic Genealogy,"It's Family Day at Greendale. Pierce tries to build a relationship with his stepdaughter, but she has eyes for Jeff instead. Britta gets in trouble with Troy's Nana, and Shirley's kids cause problems for Abed's father.",11 Mar. 2010,7.9,"(3,548)"
1,19,Beginner Pottery,"Jeff signs up for a pottery class for an easy credit, but winds up failing the class when his jealousy of another student gets the best of him. Meanwhile, Pierce's incompetence could ruin his group's grade in boating class.",18 Mar. 2010,8.3,"(3,748)"
1,20,The Science of Illusion,"Britta's April Fool's Day prank has disastrous consequences, but she refuses to confess that she was responsible. Annie and Shirley temporarily work as security guards, but both of them want to be the ""bad cop.""",25 Mar. 2010,8.3,"(3,651)"
1,21,Contemporary American Poultry,Jeff's plan to get chicken fingers from the school cafeteria for the study group quickly evolves into a mafia movie-style endeavor with Abed calling all the shots.,22 Apr. 2010,9.2,"(5,842)"
1,22,The Art of Discourse,"Shirley gets Pierce kicked out the study group, Jeff and Britta plot revenge on a group of high schoolers who make fun of them for attending community college, and Troy helps Abed accomplish some of his movie-clichéd social goals.",29 Apr. 2010,7.8,"(3,710)"
1,23,Modern Warfare,"Greendale Community College is transformed into an apocalyptic war zone when the dean promises the winner of a paintball competition priority registration, and it could fan the flames of sexual tension between Jeff and Britta.",6 May 2010,9.8,"(12,395)"
1,24,English as a Second Language,"Annie uses inside information about Señor Chang to get him fired so that the study group will be forced to stay together and take Spanish again. Meanwhile, Troy discovers that he has a natural skill for plumbing.",13 May 2010,8.1,"(3,468)"
1,25,Pascal's Triangle Revisited,"Britta and Professor Slater fight for the affection of Jeff. Meanwhile, Troy is confused when Abed doesn't invite him to move into his dorm room.",20 May 2010,8.4,"(3,761)"
2,1,Anthropology 101,"Jeff and Britta engage in a dangerous game of relationship one-upsmanship in response to Britta's embarrassing moment at the end of the previous school year, which could cause the entire study group to fall apart.",23 Sep. 2010,8.6,"(3,981)"
2,2,Accounting for Lawyers,"Jeff blows off the study group and their break-dancing competition to hang out with his old co-workers at the law firm, but Annie tries to prove that one of them is the person who turned him in and got him fired.",30 Sep. 2010,8.2,"(3,594)"
2,3,The Psychology of Letting Go,"Pierce's religion convinces him that the spirit of his dead mother is captured in a cheap lava lamp, Jeff has a crisis of faith when he learns he has high cholesterol, and Britta and Annie try to raise money for the oil spill.",7 Oct. 2010,8.0,"(3,479)"
2,4,Basic Rocket Science,"Everyone in the study group except Abed is stuck in a crude 1980s space simulator as it is towed off campus, and Abed leads the team given the difficult assignment of bringing them home.",14 Oct. 2010,8.6,"(4,154)"
2,5,Messianic Myths and Ancient Peoples,"Shirley asks Abed to make a film about Jesus, but he quickly angers Shirley by turning it into a self-indulgent mess. Meanwhile, Pierce begins blowing off the study group to hang out with the ""hipsters.""",21 Oct. 2010,7.7,"(3,870)"
2,6,Epidemiology,The study group is left to fend for themselves by Dean Pelton during a rabies outbreak due to tainted food at Greendale's Halloween party.,28 Oct. 2010,9.2,"(5,753)"
2,7,Aerodynamics of Gender,"Britta, Annie and Shirley discover that Abed is skilled at insulting the mean girls, so they use him to their advantage. Meanwhile, Troy and Jeff find a secret garden with a trampoline, which they use for relaxation.",4 Nov. 2010,8.4,"(3,952)"
2,8,Cooperative Calligraphy,"Chaos and mistrust tear the study group apart as they try to figure out who stole Annie's pen, causing them to miss the Greendale Puppy Parade.",11 Nov. 2010,9.0,"(4,879)"
2,9,Conspiracy Theories and Interior Design,"Dean Pelton tries to bust Jeff for a phony night school credit, which only unveils a series of conspiracies, plots, and double-crosses between Jeff, Annie, and the dean.",18 Nov. 2010,9.4,"(5,910)"
2,10,Mixology Certification,"The study group takes Troy out to a bar to celebrate his 21st birthday. While there, Annie assumes a new identity, Abed is propositioned by a man, one of Shirley's secrets is discovered, and Britta and Jeff fight over the ""cool"" bars.",2 Dec. 2010,8.4,"(3,878)"
2,11,Abed's Uncontrollable Christmas,"When Abed wakes up to discover that everything is in stop motion animation, Professor Duncan and the study group help him try to discover the true meaning of Christmas.",9 Dec. 2010,8.7,"(5,212)"
2,12,Asian Population Studies,"Annie lobbies for her new crush, who is also Jeff's rival, to join the study group, but a jealous Jeff counters with Chang. Meanwhile, Shirley announces that she's pregnant, but she doesn't know that it could be Chang's.",20 Jan. 2011,7.9,"(3,322)"
2,13,Celebrity Pharmacology 212,"Pierce bribes Annie into getting him a bigger role in her anti-drug play, Jeff gets in trouble when he sends a lewd text message from Britta's phone, and Shirley rejects Chang's attempts to be friendly to her.",27 Jan. 2011,7.8,"(3,420)"
2,14,Advanced Dungeons & Dragons,"The study group plays Dungeons & Dragons with another classmate to improve his spirits, but Pierce's jealousies cause their good intentions to backfire.",3 Feb. 2011,9.5,"(6,592)"
2,15,Early 21st Century Romanticism,"Jeff hangs out with Professor Duncan after a fight with the study group, but Chang tags along and starts a party. Meanwhile, Abed and Troy fight for a librarian's affection, and Britta goes to a dance with a girl she thinks is a lesbian.",10 Feb. 2011,7.9,"(3,402)"
2,16,Intermediate Documentary Filmmaking,"Pierce pretends to be dying so that he can bequeath a series of cryptic and sometimes mean-spirited gifts to his study partners, and Abed decides to shoot a documentary film of the situation.",17 Feb. 2011,8.7,"(3,949)"
2,17,Intro to Political Science,"Anticipating a visit from the vice president, dean Pelton holds an election for student body president. An idealistic Annie decides to run, but Jeff decides to run against her to spite her and show how stupid politics can be.",24 Feb. 2011,8.1,"(3,503)"
2,18,Custody Law and Eastern European Diplomacy,"Jeff uses Shirley's parental rights waiver against Chang as a way to get Chang out of the apartment, while Britta is afraid to tell Abed and Troy that their new friend is a war criminal.",17 Mar. 2011,7.3,"(3,274)"
2,19,Critical Film Studies,"Jeff's ""Pulp Fiction""-themed surprise party for Abed is spoiled when Abed tells him over dinner that he's done with pop culture.",24 Mar. 2011,8.9,"(4,602)"
2,20,Competitive Wine Tasting,Jeff suspects something isn't quite right when an attractive classmate gets engaged to marry Pierce .,14 Apr. 2011,7.5,"(3,230)"
2,21,Paradigms of Human Memory,"While working on the final diorama for their anthropology class, Chang discovers the cache of items stolen by Troy's monkey.",21 Apr. 2011,9.0,"(4,600)"
2,22,Applied Anthropology and Culinary Arts,"As the semester draws to a close, the anthropology class final is disrupted when Shirley goes into labor one month ahead of schedule.",28 Apr. 2011,7.9,"(3,242)"
