Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,The Pants Tent,An innocent bunch-up in Larry's trousers causes a misunderstanding with Cheryl's friend Nancy at the movies. He also manages to offend his friend Richard Lewis' new girlfriend.,15 Oct. 2000,8.0,"(2,626)"
1,2,Ted and Mary,"Larry and Cheryl enjoy their bowling double-date with Ted Danson and Mary Steenburgen, but it ends badly when Larry accuses the bowling alley of misplacing his sneakers. Later, Ted gets the wrong idea about Larry when he goes shopping with Mary at a downtown department store.",22 Oct. 2000,7.6,"(2,204)"
1,3,Porno Gil,"A bizarre chain of events starts with Larry accidentally being invited to have dinner with a former porno star, Gil, (Bob Odenkirk). The party turns out to be one disaster after another when Larry breaks a lamp, is forced to take off his shoes, loses his watch, gets lost along the way, and has to do the dreaded ""double goodbye"". Meanwhile, Jeff undergoes emergency surgery and asks Larry to go to his house and retrieve his porno collection so Suzie doesn't see it.",29 Oct. 2000,8.0,"(2,229)"
1,4,The Bracelet,"Larry gets into a tense, heated fight with Cheryl, and Larry's secretary suggests that he buy her a present to make up for it. After having lunch with Richard Lewis and helping a blind man, Larry spots the perfect present for Cheryl - a bracelet. Unfortunately, Richard also covets it.",5 Nov. 2000,7.8,"(1,985)"
1,5,Interior Decorator,Larry holds an elevator for someone and ends up being delayed at the doctor's office. This causes him to miss an appointment with Diane Keaton. Cheryl's interior decorator happens to be Diane Keaton's won't give him Diane's phone number.,12 Nov. 2000,8.3,"(2,045)"
1,6,The Wire,"Cheryl gives Larry an ultimatum - bury the wire in the backyard - or else! But the permit the city gives Larry requires six signatures from his neighbors, and that means having to be nice to them at all costs - or else.",19 Nov. 2000,7.9,"(1,855)"
1,7,AAMCO,"Jeff buys a '57 Chevy and insists that Larry take it for a drive. At a stop sign, Larry mistakes the honking horn from an AAMCO commercial for the car behind him and yells at the other driver, who then hits the Chevy and speeds away. Luckily, Larry meets an antique auto mechanic at a dinner party who says he can fix Jeff's Chevy.",26 Nov. 2000,7.4,"(1,763)"
1,8,Beloved Aunt,"When Cheryl's aunt dies, the family asks Larry to write the obituary. But when it gets printed in the newspaper, an unfortunate typo lands Larry in the hot seat.",3 Dec. 2000,8.7,"(2,064)"
1,9,Affirmative Action,"Cheryl's quest to get a prescription filled is repeatedly complicated by Larry, including a bad joke that he tells in front of Richard Lewis' doctor.",10 Dec. 2000,8.0,"(1,806)"
1,10,The Group,"Thanks to Larry's manager Jeff, Cheryl is up for a part in ""The Vagina Monologues."" Meanwhile, Larry runs into an ex who asks him to accompany her to her incest-survivors group to lend moral support while she deals with her past.",17 Dec. 2000,8.6,"(1,985)"
2,1,The Car Salesman,"The Davids buy a house and move in but it makes settling sounds. Larry is not enthused about any show biz projects but does want and lands a car salesman job. Despite customers asking dumb questions, Larry does have a one ready to buy.",23 Sep. 2001,8.0,"(1,691)"
2,2,Thor,"Larry drives to meet Jason Alexander. A professional wrestler, Thor, yells at him for a finger gun shootout with his kids. Later, Larry's tires are slashed and he figures Thor. Recently separated, Jeff fears for sex secrets he told Susie.",30 Sep. 2001,8.5,"(1,765)"
2,3,Trick or Treat,"Larry offends two uncostumed trick-or-treaters by not giving them candy, so they show him the ""trick"" side of Halloween. He also alienates Cheryl's screenwriter friend Cliff and a Jewish neighbor AND spoils his romantic anniversary gift when Jeff arrives to play a round of golf.",7 Oct. 2001,8.7,"(1,928)"
2,4,The Shrimp Incident,"Larry gets takeout food and has a run-in with the same TV executive he is about to meet with to discuss his TV pilot idea. But after he gets home, he accuses the network exec of taking some shrimp from his dinner.",14 Oct. 2001,8.3,"(1,683)"
2,5,The Thong,Larry no longer feels comfortable going to his psychiatrist after he sees him wearing a thong at the beach.,21 Oct. 2001,7.8,"(1,595)"
