Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Death Has a Shadow,"After drinking too much at a stag party and falling asleep at work, Peter loses his job, signs up for welfare, and gets more money than expected.",31 Jan. 1999,7.7,"(3,556)"
1,2,I Never Met the Dead Man,Peter goes into shock after he disables the entire Quahog cable system while giving Meg driving lessons; Stewie plots to rid the world of broccoli.,11 Apr. 1999,7.5,"(2,690)"
1,3,Chitty Chitty Death Bang,Peter tries to make the best of a bad situation after he ruins Lois's plans for Stewie's birthday party; Meg's new friend tries to recruit her into a cult.,18 Apr. 1999,7.6,"(2,562)"
1,4,Mind Over Murder,"Under house arrest, Peter transforms the basement into a bar, where Lois' singing becomes the main attraction.",25 Apr. 1999,7.4,"(2,406)"
1,5,A Hero Sits Next Door,"Peter becomes very jealous, when his handi-capable new neighbor turns out to be the new star player on the toy company's softball team.",2 May 1999,7.4,"(2,337)"
1,6,The Son Also Draws,A chance encounter with a prune smoothie puts in motion a series of events that ultimately allows Peter to accept Chris' artistic side.,9 May 1999,7.2,"(2,263)"
1,7,Brian: Portrait of a Dog,Brian's life is on the line after he refuses to be treated like a dog.,16 May 1999,7.5,"(2,296)"
2,1,"Peter, Peter, Caviar Eater",Peter changes for the worse after he and Lois inherit a mansion in Newport.,23 Sep. 1999,7.6,"(2,211)"
2,2,Holy Crap,Peter seeks divine inspiration when his retired father comes to visit and makes life troublesome; Chris suffers a gastrointestinal impasse.,30 Sep. 1999,7.3,"(2,089)"
2,3,Da Boom,"Peter's paranoia about the end of the world makes the family cancel their New Year's Eve '99 plans, but for once, Peter is actually somewhat right.",26 Dec. 1999,8.1,"(2,542)"
2,4,Brian in Love,Brian turns to a therapist after his unrequited love for Lois causes him to lose control of his bladder.,7 Mar. 2000,7.4,"(2,016)"
2,5,Love Thy Trophy,Everyone on Spooner Street becomes enemies when a trophy they all won mysteriously goes missing; Meg makes extra tips as a waitress by telling everyone she's Stewie's teenage mother.,14 Mar. 2000,7.7,"(2,016)"
2,6,Death Is a Bitch,Death pays a visit to the Griffins after Peter fakes his death on an insurance form to avoid paying a hefty hospital bill.,21 Mar. 2000,8.2,"(2,335)"
2,7,The King Is Dead,"Lois becomes the director of the Quahog Player's Theatre, until Peter becomes producer and changes everything.",28 Mar. 2000,7.3,"(1,928)"
2,8,"I Am Peter, Hear Me Roar",Peter receives feminine training at a woman's retreat after his joke about women offends a female co-worker.,28 Mar. 2000,8.0,"(2,111)"
2,9,If I'm Dyin' I'm Lyin',Peter pretends Chris is dying so that Make-A-Dream-Come-True foundation can save a cancelled TV Show.,4 Apr. 2000,7.3,"(1,881)"
2,10,Running Mates,"Peter resorts to mudslinging, when he and Lois run as opponents in an election for the school board; Chris has a sexual awakening.",11 Apr. 2000,7.4,"(1,857)"
2,11,"A Picture Is Worth 1,000 Bucks","Chris becomes the toast of the New York art scene, after Peter uses one his painting as the car's window.",18 Apr. 2000,7.1,"(1,874)"
2,12,Fifteen Minutes of Shame,"A vivacious actress will replace Meg, when a reality show based on the Griffins' home life becomes a ratings sensation in the MTV network.",25 Apr. 2000,7.5,"(1,849)"
2,13,Road to Rhode Island,Brian and Stewie embark on a cross-country journey home; Peter becomes addicted to marriage counselling videos hosted by an adult film star.,30 May 2000,8.1,"(2,204)"
2,14,Let's Go to the Hop,Peter infiltrates the high school after it's gripped by a toad-licking craze.,6 Jun. 2000,7.8,"(1,876)"
2,15,Dammit Janet,Stevie falls madly in love with another toddler at his new daycare; Peter takes advantage of Lois' new career as a stewardess.,13 Jun. 2000,7.4,"(1,783)"
2,16,There's Something About Paulie,"The mob puts a hit out on Lois, after her meddling puts an end to Peter's unwanted friendship with a crime lord's obnoxious nephew.",27 Jun. 2000,6.9,"(1,906)"
2,17,He's Too Sexy for His Fat,"Peter's drastic plastic surgery and liposuction procedures will transform him from a fatherly slob into a beautiful snob, and the family is not sure what to do.",27 Jun. 2000,7.7,"(1,826)"
2,18,E. Peterbus Unum,A zoning malfunction committed by the city planners gives Peter the opportunity to convert the Griffin household in the sovereign nation of Petirua.,12 Jul. 2000,8.1,"(1,964)"
2,19,The Story on Page One,Peter substitutes Meg's dreary newspaper article on Mayor Adam West with a steamy exposé that tries to out Hollywood actor Luke Perry.,18 Jul. 2000,7.4,"(1,706)"
