Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Pilot,"It's the year 2030 and an older Ted Mosby is telling the story to his son and daughter about how he met and will eventually marry their mother. This is where we meet for the first time Ted, Lily, Marshall, Barney and Robin.",19 Sep. 2005,8.4,"(6,323)"
1,2,Purple Giraffe,"Ted throws a party in hopes of seeing Robin again, but when she doesn't show up, he throws another... and another.",26 Sep. 2005,8.0,"(4,849)"
1,3,The Sweet Taste of Liberty,"Barney's plan to meet girls at the airport backfires as he and Ted are picked up by airport security. Meanwhile, Lily gets jealous of Robin.",3 Oct. 2005,8.0,"(4,601)"
1,4,Return of the Shirt,Ted reconnects with an old flame and soon remembers why he dumped her in the first place. Barney pays Robin to say outrageous things on the air.,10 Oct. 2005,7.9,"(4,338)"
1,5,Okay Awesome,"Robin, Ted, and Barney go to a hot new club, leaving the engaged Marshall and Lily to a more adult, albeit boring, evening of wine tasting.",17 Oct. 2005,8.2,"(4,467)"
1,6,The Slutty Pumpkin,"Marshall and Lily enter a Halloween costume party and Robin brings her new boyfriend. Ted and Barney go to the same Halloween party they go to every year where Ted looks for his lost love, the Slutty Pumpkin.",24 Oct. 2005,8.0,"(4,309)"
1,7,Matchmaker,"When Ted signs up with a matchmaking service, he learns that love is not a science. Marshall and Lily confront a creature living in their apartment.",7 Nov. 2005,7.6,"(4,058)"
1,8,The Duel,"Lily moves in with Marshall and Ted, and when Ted suspects that he's being edged out of the apartment, he and Marshall decide to settle it like men.",14 Nov. 2005,8.0,"(4,039)"
1,9,Belly Full of Turkey,"Thanksgiving with Marshall's family is stressful when Lily thinks she might be pregnant. Robin, Barney, and Ted spend the holiday volunteering.",21 Nov. 2005,7.9,"(4,015)"
1,10,The Pineapple Incident,"After an alcohol-induced blackout, Ted awakens to find a strange woman and a pineapple in his bed.",28 Nov. 2005,9.1,"(6,082)"
1,11,The Limo,"It's New Year's Eve 2005 and Ted spends a large portion of his Christmas bonus for a limo for him and the gang. In addition, he has outlined a plan for how they will ring in the New Year. Unfortunately, things don't always go as planned.",19 Dec. 2005,8.2,"(4,228)"
1,12,The Wedding,"Ted's romantic hopes are dashed when he invites Robin to a fancy wedding, only to discover that the bride-to-be won't allow him to bring a date.",9 Jan. 2006,8.0,"(3,933)"
1,13,"Drumroll, Please","Robin is emotionally torn when Ted meets an exciting new woman, Victoria, at the wedding. Afterward, though, he doesn't know how to contact her.",23 Jan. 2006,8.6,"(4,482)"
1,14,"Zip, Zip, Zip","Hiding in the bathroom, Marshall and Lily wait for Ted and Victoria to consummate their relationship, and Barney gets the wrong idea from Robin.",6 Feb. 2006,8.1,"(3,848)"
1,15,Game Night,Marshall's game night leads to some startling and very embarrassing revelations.,27 Feb. 2006,9.0,"(4,986)"
1,16,Cupcake,"Just as Ted and Victoria's relationship is beginning to flourish, she's offered a scholarship to a culinary institute in Germany.",6 Mar. 2006,7.8,"(3,682)"
1,17,Life Among the Gorillas,"With Victoria in Germany, Ted faces the pitfalls of long-distance relationships. Marshall has trouble fitting in at Barney's company.",20 Mar. 2006,7.6,"(3,651)"
