Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Pilot,"Jay must adapt to his young new wife, Gloria and her son. Meanwhile, Claire deals with her own family. Mitchell and Cam decide to adopt a baby.",23 Sep. 2009,8.2,"(3,940)"
1,2,The Bicycle Thief,"After buying a new bike for his son, Phil ends up lying when it gets stolen. Jay tries bonding with Manny. Cam and Mitchell begin daycare classes for Lily.",30 Sep. 2009,8.1,"(3,233)"
1,3,Come Fly with Me,"Jay takes Phil on a model-airplane excursion with disastrous results. While Manny is at their house, Claire must get used to the fact they are actually siblings.",7 Oct. 2009,7.9,"(2,868)"
1,4,The Incident,Jay's ex-wife shows up for the first time following a nasty incident at Gloria and Jay's wedding.,14 Oct. 2009,8.1,"(2,928)"
1,5,Coal Digger,A conflict between Manny and Luke spreads to their respective parents during a football game.,21 Oct. 2009,8.2,"(2,813)"
1,6,Run for Your Wife,"Claire and Phil have mixed feelings regarding the first day of school for the kids. Jay and Gloria argue about an outfit for Manny, and a minor problem with Lily gets blown out of proportion by Mitchell and Cameron.",28 Oct. 2009,7.7,"(2,677)"
1,7,En Garde,"The whole family comes out to support Manny's newfound interest - fencing. It turns out he's quite masterful in the sport, but Jay's proud enthusiasm triggers an old childhood wound for Mitchell. Meanwhile Phil is determined to find where Luke's hidden talents lie.",4 Nov. 2009,7.9,"(2,624)"
1,8,Great Expectations,"Jay has a sleepover for his grandkids, but Haley is looking for a way out. Claire tries to get a perfect anniversary gift for Phil, and Mitchell and Cameron discover that their ladyfriend is crazy and jealous of their daughter.",18 Nov. 2009,7.9,"(2,720)"
1,9,Fizbo,"Cameron breaks out his favorite clown costume to make Luke's birthday party a hit. However, a series of accidents causes the party to break into chaos and leads to an unfortunate injury.",25 Nov. 2009,8.6,"(3,064)"
1,10,Undeck the Halls,Phil and Claire cancel Christmas for their kids until they confess to wrongdoings at the house. Jay is hesitant to celebrate Gloria and Manny's holiday traditions. Mitchell and Cameron take Lily to meet Santa.,9 Dec. 2009,8.0,"(2,524)"
1,11,Up All Night,"Manny's dad shows up bearing extravagant gifts, Mitchell and Cameron fight over how to care for their daughter when she cries at night, and Claire tries to impress the firefighters who responded to Phil's kidney stone 911 call.",6 Jan. 2010,7.9,"(2,487)"
1,12,Not in My House,"Gloria plots to get rid of Jay's new ""dog butler,"" Cameron's helpful nature gets himself in trouble with Mitchell, and Claire asks Phil to punish their son for looking at nude pictures, not knowing they're Phil's.",13 Jan. 2010,7.8,"(2,428)"
1,13,Fifteen Percent,"Mitchell tells Jay that one of his friends is gay to teach him a lesson, Claire gets frustrated with Phil's new master remote control, and Gloria gives Manny's ""date"" a makeover to improve her self-esteem.",20 Jan. 2010,8.0,"(2,493)"
1,14,Moon Landing,"Claire feels like a loser when she catches up with an old friend from work, Jay and Cameron have an unpleasant ""encounter"" in a locker room, and Mitchell tries to give legal advice to Gloria after she has a wreck.",3 Feb. 2010,8.0,"(2,461)"
1,15,My Funky Valentine,Jay takes Gloria to see David Brenner. Mitchell and Cameron try to set Manny up on a date. Phil and Claire try to spice things up by going on a romantic getaway.,10 Feb. 2010,8.6,"(2,770)"
1,16,Fears,Haley confronts a terrifying driving examiner in her third attempt to pass the road test. Alex is nervous about a school dance. Gloria taunts Jay and Manny to ride a roller coaster. Phil and Luke look for treasure under the house.,3 Mar. 2010,7.9,"(2,332)"
1,17,Truth Be Told,"Jay accidentally kills Manny's pet turtle and lies about it, Claire becomes jealous when Phil's ex-girlfriend pays a visit, and Mitchell makes a bold decision after he misses a family day because he's called in to work.",10 Mar. 2010,7.8,"(2,349)"
