Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Pilot,A strangely eccentric genius scientist and inventor moves into the home of his daughter and her family and begins to strongly influence his young grandson.,2 Dec. 2013,7.9,"(14,462)"
1,2,Lawnmower Dog,Rick helps Jerry out with the dog.,9 Dec. 2013,8.7,"(14,485)"
1,3,Anatomy Park,"It's Christmas. Rick shrinks Morty, injecting him into a homeless man to save Anatomy Park. Jerry tries to have a Christmas free of electronic devices, but regrets his decision when his parents introduce him to their new friend.",16 Dec. 2013,8.3,"(13,180)"
1,4,M. Night Shaym-Aliens!,Rick and Morty try to get to the bottom of a mystery.,13 Jan. 2014,8.7,"(13,277)"
1,5,Meeseeks and Destroy,"Rick provides the family with a solution to their problems, freeing him up to go on an adventure led by Morty.",20 Jan. 2014,9.0,"(14,794)"
1,6,Rick Potion #9,"After Rick gives Morty a love potion for a school dance, things quickly spiral out of control when the serum splices with the flu - causing it to spread. Rick and Morty scramble to cure the crisis, making matters worse in the process.",27 Jan. 2014,9.0,"(14,569)"
1,7,Raising Gazorpazorp,"Morty becomes a father to an alien baby, while Rick and Summer get trapped in a dangerous dimension.",10 Mar. 2014,7.9,"(12,212)"
1,8,Rixty Minutes,"Rick hooks up the family's TV with interdimensional cable, allowing them to watch infinite TV from across the multiverse.",17 Mar. 2014,8.7,"(13,523)"
1,9,Something Ricked This Way Comes,Summer gets a job at a pawn shop owned by the devil. Jerry helps Morty with his science fair project.,24 Mar. 2014,8.4,"(12,071)"
1,10,Close Rick-counters of the Rick Kind,"Rick, falsely blamed for Murder by the council of Ricks, begins a cross-dimensional pursuit with the authorities while attempting to prove his innocence.",7 Apr. 2014,9.3,"(15,196)"
1,11,Ricksy Business,Beth and Jerry head for an iceberg of a date leaving Rick in charge. Morty doesn't get to go on any more adventures if the house isn't in the same condition when they get back.,14 Apr. 2014,8.4,"(11,730)"
2,1,A Rickle in Time,"Having restarted time, Rick, Morty and Summer are in a quantum-uncertain state of existence. An argument leads to the creation of two alternate timelines, which need to be stitched back together fast if they are to escape quantum collapse.",26 Jul. 2015,8.8,"(13,198)"
2,2,Mortynight Run,Rick and Morty try to save a gas life form while Jerry resides in a daycare made for Jerrys.,2 Aug. 2015,8.8,"(12,467)"
2,3,Auto Erotic Assimilation,Rick gets emotional. Beth and Jerry get into a fight.,9 Aug. 2015,8.5,"(12,233)"
2,4,Total Rickall,The Smith house is locked down after parasites threaten to take over the world by multiplying through flashbacks.,16 Aug. 2015,9.5,"(17,727)"
2,5,Get Schwifty,"Rick and morty must aid Earth after a giant head disrupts the planet, demanding to see a hit song performed.",23 Aug. 2015,8.2,"(12,172)"
2,6,The Ricks Must Be Crazy,Rick is having trouble with his car and they have to fix it by traveling to the microverse.,30 Aug. 2015,9.3,"(14,377)"
2,7,Big Trouble in Little Sanchez,"Rick joins in on some hijinks by transferring his consciousness into teenage ""Tiny Rick."" Beth and Jerry sort out their relationship.",13 Sep. 2015,8.4,"(11,314)"
2,8,Interdimensional Cable 2: Tempting Fate,"Jerry is faced with the difficult decision of losing his manhood in order to save an alien leader from imminent death. Meanwhile, Rick, Morty and Summer explore the possibilities of interdimensional television.",20 Sep. 2015,7.6,"(11,793)"
2,9,Look Who's Purging Now,"Rick and Morty arrive on an alien planet to fix their ship just as the day of the purge begins there, Jerry and Summer work on their father-daughter relationship, but his lack of employment keeps coming up.",27 Sep. 2015,8.5,"(11,744)"
2,10,The Wedding Squanchers,"The Smith family is invited to the wedding of Rick's best friend, Birdperson. Things go south when it's discovered that the bride isn't who she says she is.",4 Oct. 2015,9.3,"(14,383)"
3,1,The Rickshank Rickdemption,"Rick, still in galactic prison, puts an intricate escape plan into action. Back on Earth, which is now under federation control, Morty and Summer have an argument about their grandpa.",1 Apr. 2017,9.6,"(21,104)"
3,2,Rickmancing the Stone,"With the kids dealing with their parents' divorce, Rick takes them to a Mad Max-style universe where he tries to steal a green crystal from a group of scavengers.",30 Jul. 2017,8.1,"(12,326)"
3,3,Pickle Rick,"Rick turns himself into a pickle while Beth, Summer, and Morty go to family therapy.",6 Aug. 2017,9.3,"(18,688)"
3,4,Vindicators 3: The Return of Worldender,Rick and Morty are summoned by the Vindicators to stop Worldender but end up in a deathtrap conceived by Drunk Rick.,13 Aug. 2017,8.1,"(12,063)"
3,5,The Whirly Dirly Conspiracy,"Rick takes Jerry on a sympathy adventure to a resort where everyone is immortal when there, and Jerry meets some old acquaintances of Rick's who want payback.",20 Aug. 2017,8.4,"(11,431)"
3,6,Rest and Ricklaxation,"Following a stressful adventure, Rick and Morty go on a break to a spa where they remove their toxins, which in turn take a form of their own.",27 Aug. 2017,8.9,"(12,352)"
