Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,"Good News, Bad News",Jerry and George argue whether an overnight visitor Jerry is expecting is coming with romantic intentions.,5 Jul. 1989,7.4,"(5,553)"
1,2,The Stakeout,Jerry and George stake out the lobby of an office building to find a woman Jerry met at a party but whose name and phone number he didn't get.,31 May 1990,7.5,"(4,670)"
1,3,The Robbery,"After Jerry's apartment is robbed, Jerry starts to look for other apartments. But Jerry and George both want the same apartment, and Elaine wants the apartment of whoever loses out.",7 Jun. 1990,7.5,"(4,269)"
1,4,Male Unbonding,Jerry tries various excuses to avoid meeting with an old friend with whom he no longer shares any interests.,14 Jun. 1990,7.3,"(4,165)"
1,5,The Stock Tip,Jerry becomes apprehensive when he and George buy stock and the price falls while the person who suggested the stock is in hospital and can't tell them when to sell.,21 Jun. 1990,7.4,"(4,015)"
2,1,The Ex-Girlfriend,"After George breaks up with his girlfriend, Jerry decides that he wants to see her.",23 Jan. 1991,7.6,"(3,876)"
2,2,The Pony Remark,Jerry fears that an inappropriate comment he made at a dinner party caused his relative's subsequent death.,30 Jan. 1991,7.9,"(4,048)"
2,3,The Jacket,"Jerry wears an expensive jacket when he meets Elaine's father, but an argument ensues when Jerry is reluctant to wear it outside during a snowfall.",6 Feb. 1991,8.2,"(4,115)"
2,4,The Phone Message,"George leaves several awkward messages on a girlfriend's answering machine, then decides to steal the tape.",13 Feb. 1991,8.4,"(3,999)"
2,5,The Apartment,"When an apartment becomes available in Jerry's building, he helps Elaine get it, only to regret his decision to do so. George starts wearing a wedding ring because he's heard that it helps single guys pick up women.",4 Apr. 1991,7.8,"(3,642)"
2,6,The Statue,A statue wanted by George is stolen from Jerry's apartment by the boyfriend of a writer Elaine is working with.,11 Apr. 1991,7.9,"(3,676)"
2,7,The Revenge,"George takes revenge on his boss for not hiring him back after he quit and was rude to him, and Jerry and Kramer take revenge on a dry cleaner after Jerry accuses him of stealing $1,500 from his laundry bag.",18 Apr. 1991,8.2,"(3,726)"
2,8,The Heart Attack,"After suffering what he thinks is a heart attack, George discovers he has inflamed tonsils and seeks alternative medicine to heal.",25 Apr. 1991,7.8,"(3,692)"
2,9,The Deal,"Jerry and Elaine believe that they have found a foolproof way to start having sex again yet still remain just friends, but they quickly start encountering problems.",2 May 1991,8.2,"(3,684)"
2,10,The Baby Shower,"Kramer convinces Jerry to get illegal cable. Elaine holds a baby shower for a former girlfriend of George, on whom he wants revenge for a callous incident.",16 May 1991,7.4,"(3,543)"
2,11,The Chinese Restaurant,"Jerry, Elaine and George stop for a quick Chinese dinner before seeing ""Plan 9 From Outer Space,"" but circumstances at the eatery make them miss the movie.",23 May 1991,8.6,"(4,509)"
2,12,The Busboy,"George tries to apologize to a busboy after one of his comments got him fired, but he only makes things worse. Elaine tries to get one of her male friends out of her house.",26 Jun. 1991,7.6,"(3,535)"
3,1,The Note,Physical therapy proves painful for Jerry when his small talk with the therapist leads to a misunderstanding; Jerry uses a dentist note to cover his therapy.,18 Sep. 1991,8.2,"(3,773)"
3,2,The Truth,A bad breakup between George and his girlfriend leads to tax troubles for Jerry.,25 Sep. 1991,7.7,"(3,404)"
