Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Unaired Pilot,"The first Pilot of what will become ""The Big Bang Theory"". Leonard and Sheldon are two awkward scientists who share an apartment. They meet a drunk girl called Katie and invite her to stay at their place, because she has nowhere to stay. The two guys have a female friend, also a scientist, called Gilda.",1 May 2006,6.5,"(2,098)"
1,2,Pilot,"A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.",24 Sep. 2007,8.2,"(6,364)"
1,3,The Big Bran Hypothesis,Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.,1 Oct. 2007,8.2,"(5,108)"
1,4,The Fuzzy Boots Corollary,"Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him.",8 Oct. 2007,7.7,"(4,559)"
1,5,The Luminous Fish Effect,Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.,15 Oct. 2007,8.1,"(4,596)"
1,6,The Hamburger Postulate,"Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand.",22 Oct. 2007,7.9,"(4,383)"
1,7,The Middle Earth Paradigm,"The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt.",29 Oct. 2007,8.3,"(4,563)"
1,8,The Dumpling Paradox,"When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys.",5 Nov. 2007,8.1,"(4,303)"
1,9,The Grasshopper Experiment,"When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol.",12 Nov. 2007,8.2,"(4,338)"
1,10,The Cooper-Hofstadter Polarization,"Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't.",17 Mar. 2008,8.0,"(4,170)"
1,11,The Loobenfeld Decay,"Leonard lies to Penny so that he and Sheldon can get out of watching her perform. However, Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it.",24 Mar. 2008,8.0,"(4,281)"
1,12,The Pancake Batter Anomaly,"When Sheldon gets sick, Leonard, Howard and Raj go AWOL, leaving a reluctant Penny to deal with him.",31 Mar. 2008,8.2,"(4,254)"
1,13,The Jerusalem Duality,"Sheldon decides to give up his work and focus on other tasks when a 15-year-old prodigy joins the university, so the other guys come up with a plan to get rid of him.",14 Apr. 2008,7.8,"(4,048)"
1,14,The Bat Jar Conjecture,"Sheldon becomes so intent on demonstrating his intellectual superiority over the other guys that they kick him off the Physics Bowl team and replace him with his nemesis, Leslie.",21 Apr. 2008,8.3,"(4,171)"
1,15,The Nerdvana Annihilation,"Penny gets mad at the guys when their full scale model of a time machine causes her to miss work, which prompts Leonard to give up all of his nerd memorabilia.",28 Apr. 2008,8.0,"(4,100)"
1,16,The Pork Chop Indeterminacy,"Leonard, Howard and Raj fight over Sheldon's twin sister when she arrives in town. Raj takes part in a drug trial to suppress his selective mutism.",5 May 2008,8.2,"(4,312)"
1,17,The Peanut Reaction,"When Penny learns that Leonard has never had a birthday party, she and the rest of the guys plan a surprise party for him.",12 May 2008,8.3,"(4,063)"
1,18,The Tangerine Factor,"After a bad breakup, Penny finally agrees to go out on a date with Leonard, however they both develop doubts and turn to Sheldon for advice.",19 May 2008,8.5,"(4,264)"
2,1,The Bad Fish Paradigm,"Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.",22 Sep. 2008,8.2,"(4,139)"
2,2,The Codpiece Topology,Sheldon is annoyed when Leonard turns to Leslie for comfort after seeing Penny with another guy.,29 Sep. 2008,8.0,"(3,822)"
2,3,The Barbarian Sublimation,"Sheldon introduces Penny to online gaming, however she refuses to quit after becoming addicted.",6 Oct. 2008,8.7,"(4,436)"
2,4,The Griffin Equivalency,The guys struggle to cope with Raj's arrogance after he is featured in a People magazine article.,13 Oct. 2008,7.9,"(3,845)"
2,5,The Euclid Alternative,"Sheldon annoys the gang when Leonard can't drive him to and from work, so they try to teach him how to drive.",20 Oct. 2008,8.3,"(3,946)"
2,6,The Cooper-Nowitzki Theorem,"Sheldon is flattered when a graduate student takes a shine to him, however her extreme devotion becomes too much to handle.",3 Nov. 2008,8.2,"(3,966)"
2,7,The Panty Piñata Polarization,"Penny plans revenge when Sheldon bans her from his and Leonard's apartment, while Howard and Raj use the latest technology to try to find the house being used in ""America's Next Top Model.""",10 Nov. 2008,8.6,"(4,213)"
2,8,The Lizard-Spock Expansion,Leonard and Howard's friendship is jeopardised when Leonard steals a girl from Howard.,17 Nov. 2008,8.1,"(3,796)"
2,9,The White Asparagus Triangulation,"Sheldon believes that Leonard will wreck his relationship with Stephanie, so he decides to take matters into his own hands.",24 Nov. 2008,8.1,"(3,758)"
2,10,The Vartabedian Conundrum,"Leonard tries to slow down his relationship with Stephanie when he realizes that they are living together, while Sheldon becomes convinced that he has an untraceable disease.",8 Dec. 2008,7.7,"(3,685)"
2,11,The Bath Item Gift Hypothesis,"Leonard is disappointed when Penny develops an interest in an attractive physicist at the university. Meanwhile, Sheldon struggles to find an appropriate Christmas gift for Penny.",15 Dec. 2008,9.1,"(6,200)"
2,12,The Killer Robot Instability,"Howard becomes depressed after Penny makes a cruel statement about his love life, while the rest of the guys prepare for a grudge killer robot duel against an obnoxious colleague at the university.",12 Jan. 2009,7.9,"(3,703)"
2,13,The Friendship Algorithm,Sheldon tries to make friends with Kripke in the hope that it will get him access to a coveted computer at the university.,19 Jan. 2009,8.0,"(3,703)"
2,14,The Financial Permeability,Leonard and Sheldon try to help out Penny when she can't afford to pay her rent.,2 Feb. 2009,8.0,"(3,670)"
2,15,The Maternal Capacitance,"Sheldon hits it off with Leonard's psychoanalyst mother, but she drives Leonard and Penny to the bottle.",9 Feb. 2009,8.8,"(4,436)"
2,16,The Cushion Saturation,"Howard hooks up with Leslie, while Penny accidentally ruins Sheldon's spot on the couch.",2 Mar. 2009,8.1,"(3,687)"
2,17,The Terminator Decoupling,"On a train to San Francisco, Howard, Raj and Leonard fight for the affections of sci-fi star Summer Glau, while Sheldon is forced to turn to Penny for help when he leaves his flash drive behind.",9 Mar. 2009,8.1,"(4,014)"
2,18,The Work Song Nanocluster,Sheldon's assistance with Penny's home-based business leads to chaos.,16 Mar. 2009,8.1,"(3,696)"
2,19,The Dead Hooker Juxtaposition,Penny becomes jealous when a gorgeous new neighbor attracts the guys' attention.,30 Mar. 2009,8.1,"(3,735)"
2,20,The Hofstadter Isotope,"Leonard is upset when the owner of the comic book store goes on a date with Penny, so he convinces Howard and Raj to take him to a bar so that he can pick up a woman of his own.",13 Apr. 2009,7.9,"(3,584)"
2,21,The Vegas Renormalization,"After being dumped by Leslie, Howard heads to Las Vegas with Leonard and Raj. Meanwhile, Penny is forced to take in Sheldon after he locks himself out of his apartment.",27 Apr. 2009,8.5,"(3,881)"
2,22,The Classified Materials Turbulence,Penny's second date with Stuart has significant implications for Leonard. Howard enlists the guys' help with one of his NASA projects.,4 May 2009,8.2,"(3,551)"
2,23,The Monopolar Expedition,Penny gets upset when she finds out Leonard and the guys plan to work at the North Pole for the summer.,11 May 2009,8.2,"(3,662)"
3,1,The Electric Can Opener Fluctuation,"After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.",21 Sep. 2009,8.3,"(3,923)"
3,2,The Jiminy Conjecture,Leonard and Penny's first night together goes awkwardly. Sheldon and Howard wager on the species of a cricket.,28 Sep. 2009,7.8,"(3,583)"
3,3,The Gothowitz Deviation,"Sheldon attempts to covertly alter Penny's habits, while Howard and Raj try their luck meeting women at a Goth-style club.",5 Oct. 2009,8.1,"(3,672)"
3,4,The Pirate Solution,"When Raj has to find a new job or be sent back to India, Sheldon's solution leaves Leonard and Penny dealing with Howard as the third wheel.",12 Oct. 2009,8.0,"(3,595)"
3,5,The Creepy Candy Coating Corollary,"Leonard is forced to ask Penny to set Howard up with one of her friends, while Sheldon seeks payback against sci-fi star Wil Wheaton.",19 Oct. 2009,8.3,"(3,684)"
3,6,The Cornhusker Vortex,"Leonard tries to learn about football to fit in with Penny's friends. Meanwhile, a loss in a kite war threatens to end Raj and Howard's friendship.",2 Nov. 2009,7.5,"(3,471)"
3,7,The Guitarist Amplification,Sheldon is caught in the middle when Leonard and Penny argue about Penny's friend staying at her apartment.,9 Nov. 2009,7.8,"(3,476)"
3,8,The Adhesive Duck Deficiency,"Penny is forced to turn to Sheldon for help when she dislocates her shoulder in the bathtub. Meanwhile, the rest of the guys accidentally get stoned in the desert while waiting for a meteor shower.",16 Nov. 2009,8.9,"(4,949)"
3,9,The Vengeance Formulation,Sheldon plans revenge after Kripke humiliates him on the radio. Howard develops doubts about his relationship with Bernadette.,23 Nov. 2009,8.3,"(3,671)"
3,10,The Gorilla Experiment,"Sheldon attempts to help Penny understand physics to impress Leonard, while Howard becomes jealous when Bernadette takes an interest in Leonard's research.",7 Dec. 2009,8.5,"(3,730)"
3,11,The Maternal Congruence,Leonard's mother makes a visit to his dismay and Sheldon's delight.,14 Dec. 2009,8.3,"(3,616)"
3,12,The Psychic Vortex,Raj talks Sheldon into being his wingman at a university mixer. Leonard has trouble dealing with Penny consulting a psychic.,11 Jan. 2010,8.3,"(3,570)"
3,13,The Bozeman Reaction,"When their apartment is robbed, Leonard and Sheldon turn to Howard and Raj to create a state-of-the-art security system.",18 Jan. 2010,8.0,"(3,469)"
