Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Simpsons Roasting on an Open Fire,Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.,17 Dec. 1989,8.1,"(7,557)"
1,2,Bart the Genius,Bart ends up at a school for gifted children after cheating on an IQ test.,14 Jan. 1990,7.7,"(5,031)"
1,3,Homer's Odyssey,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.",21 Jan. 1990,7.3,"(4,440)"
1,4,There's No Disgrace Like Home,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.",28 Jan. 1990,7.7,"(4,367)"
1,5,Bart the General,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.",4 Feb. 1990,7.9,"(4,703)"
1,6,Moaning Lisa,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.",11 Feb. 1990,7.6,"(4,242)"
1,7,The Call of the Simpsons,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.",18 Feb. 1990,7.7,"(4,100)"
1,8,The Telltale Head,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.,25 Feb. 1990,7.6,"(3,946)"
1,9,Life on the Fast Lane,Marge contemplates an affair with a handsome bowling instructor.,18 Mar. 1990,7.4,"(3,917)"
1,10,Homer's Night Out,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.",25 Mar. 1990,7.3,"(3,796)"
1,11,The Crepes of Wrath,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.",15 Apr. 1990,7.8,"(3,845)"
1,12,Krusty Gets Busted,"After Krusty is found guilty of robbing the Kwik-E-Mart following Homer's eyewitness testimony, Bart and Lisa set out to prove his innocence.",29 Apr. 1990,8.3,"(4,247)"
1,13,Some Enchanted Evening,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret.",13 May 1990,7.7,"(4,181)"
2,1,Bart Gets an F,"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.",11 Oct. 1990,8.2,"(4,235)"
2,2,Simpson and Delilah,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.,18 Oct. 1990,8.2,"(4,337)"
2,3,Treehouse of Horror,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.",25 Oct. 1990,8.2,"(4,468)"
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.",1 Nov. 1990,8.0,"(3,678)"
2,5,Dancin' Homer,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.,8 Nov. 1990,7.4,"(3,505)"
2,6,Dead Putting Society,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.",15 Nov. 1990,8.0,"(3,456)"
2,7,Bart vs. Thanksgiving,"On Thanksgiving, Bart runs away after fighting with Lisa.",22 Nov. 1990,7.7,"(3,379)"
2,8,Bart the Daredevil,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.",6 Dec. 1990,8.3,"(3,738)"
2,9,Itchy & Scratchy & Marge,"Marge becomes a crusader against cartoon violence after ""Itchy and Scratchy"" seemingly inspires Maggie to attack Homer.",20 Dec. 1990,8.1,"(3,808)"
2,10,Bart Gets Hit by a Car,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.",10 Jan. 1991,7.8,"(3,340)"
2,11,"One Fish, Two Fish, Blowfish, Blue Fish","After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live.",24 Jan. 1991,8.8,"(4,520)"
2,12,The Way We Was,Homer and Marge tell the story of how they met and fell in love in high school.,31 Jan. 1991,8.2,"(3,517)"
2,13,Homer vs. Lisa and the 8th Commandment,"Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing.",7 Feb. 1991,8.0,"(3,296)"
2,14,Principal Charming,"Homer tries to set Selma up with Principal Skinner, only for him to fall for Patty instead.",14 Feb. 1991,7.4,"(3,160)"
2,15,"Oh Brother, Where Art Thou?","After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family set out to find him.",21 Feb. 1991,8.3,"(3,528)"
2,16,Bart's Dog Gets an F,"After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training.",7 Mar. 1991,7.5,"(3,120)"
2,17,Old Money,"After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it.",28 Mar. 1991,7.6,"(3,105)"
2,18,Brush with Greatness,"After rekindling her artistic talents, Marge is commissioned to paint a portrait of Mr. Burns; Homer vows to lose weight after getting trapped in a water slide.",11 Apr. 1991,7.9,"(3,150)"
2,19,Lisa's Substitute,Lisa has a crush on her substitute teacher; Bart decides to run for class president.,25 Apr. 1991,8.5,"(4,303)"
2,20,The War of the Simpsons,Homer must decide whether he should complete marriage counseling or skip out to catch a legendary catfish; Bart and Lisa take advantage of Grampa's ignorance of the house rules.,2 May 1991,7.8,"(3,080)"
2,21,Three Men and a Comic Book,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.",9 May 1991,8.3,"(3,668)"
2,22,Blood Feud,"After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a ""thank you"" card as compensation.",11 Jul. 1991,7.8,"(3,025)"
3,1,Stark Raving Dad,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.,19 Sep. 1991,8.6,"(4,420)"
3,2,Mr. Lisa Goes to Washington,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works.",26 Sep. 1991,7.7,"(3,206)"
3,3,When Flanders Failed,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.",3 Oct. 1991,8.2,"(3,350)"
3,4,Bart the Murderer,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears.",10 Oct. 1991,8.6,"(3,989)"
3,5,Homer Defined,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident.",17 Oct. 1991,8.4,"(3,769)"
3,6,"Like Father, Like Clown",Bart and Lisa try to reunite Krusty the Clown with his father.,24 Oct. 1991,7.6,"(3,088)"
3,7,Treehouse of Horror II,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.",31 Oct. 1991,8.2,"(3,485)"
3,8,Lisa's Pony,Homer buys Lisa a pony that the family can ill afford.,7 Nov. 1991,7.9,"(3,038)"
3,9,Saturdays of Thunder,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer.",14 Nov. 1991,7.9,"(3,030)"
3,10,Flaming Moe's,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer.",21 Nov. 1991,8.8,"(3,952)"
3,11,Burns Verkaufen der Kraftwerk,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.",5 Dec. 1991,8.2,"(3,136)"
3,12,I Married Marge,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.",26 Dec. 1991,8.3,"(3,041)"
3,13,Radio Bart,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.",9 Jan. 1992,8.5,"(3,351)"
3,14,Lisa the Greek,Homer uses Lisa (and her prognostic skills) to help him bet on football games.,23 Jan. 1992,8.0,"(2,905)"
3,15,Homer Alone,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.",6 Feb. 1992,8.0,"(2,931)"
3,16,Bart the Lover,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing.",13 Feb. 1992,8.3,"(3,443)"
3,17,Homer at the Bat,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.",20 Feb. 1992,8.7,"(4,077)"
3,18,Separate Vocations,"Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure.",27 Feb. 1992,8.2,"(2,952)"
3,19,Dog of Death,"After the Simpsons regret paying for an expensive surgery for Santa's Little Helper, he runs away from home and is trained by Mr. Burns to become an attack dog.",12 Mar. 1992,7.7,"(2,803)"
3,20,Colonel Homer,"Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy.",26 Mar. 1992,8.0,"(3,053)"
3,21,Black Widower,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.,9 Apr. 1992,8.3,"(3,047)"
3,22,The Otto Show,"After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet.",23 Apr. 1992,7.7,"(2,869)"
3,23,Bart's Friend Falls in Love,Bart becomes jealous when Milhouse falls in love with a new student named Samantha; Homer accidentally receives a vocabulary-building tape instead of a weight-loss one.,7 May 1992,7.7,"(2,834)"
3,24,"Brother, Can You Spare Two Dimes?","After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back.",27 Aug. 1992,8.2,"(2,978)"
4,1,Kamp Krusty,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away.",24 Sep. 1992,8.5,"(3,516)"
4,2,A Streetcar Named Marge,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner.",1 Oct. 1992,8.1,"(3,223)"
4,3,Homer the Heretic,"Homer decides to stay at home every Sunday while the rest of the family continues to attend church, and soon finds himself in an ominous situation.",8 Oct. 1992,8.9,"(4,510)"
4,4,Lisa the Beauty Queen,Homer enters Lisa in the Little Miss Springfield pageant to build her self-esteem.,15 Oct. 1992,7.7,"(2,944)"
4,5,Treehouse of Horror III,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.,29 Oct. 1992,8.4,"(3,471)"
