Season,Episode,Title,Description,AirDate,Rating,Voters
1,1,Most Chicks Won't Eat Veal: Original Pilot,"After his wife kicks him out of the house, Alan has to move in with his brother Charlie.",2 Jun. 2006,8.1,"(1,118)"
1,2,Pilot,"After 12 years of marriage, Alan's wife, Judith, kicks him out. He turns to his older brother, Charlie, for help. Charlie has trouble adjusting his carefree lifestyle with the presence of his ten-year old nephew.",22 Sep. 2003,8.2,"(2,117)"
1,3,Big Flappy Bastards,"Alan punishes Jake for an incident at Judith's house. Charlie is lax in enforcing Alan's restrictions, then some seagulls invade Charlie's house as a result of Jake's actions, Charlie has to learn how to discipline his nephew.",29 Sep. 2003,7.8,"(1,735)"
1,4,Go East on Sunset Until You Reach the Gates of Hell,"Charlie and Alan go out drinking. Alan tries to reconcile with his wife. After that fails, they decide to confront the root of their issues, their mother.",6 Oct. 2003,7.7,"(1,621)"
1,5,"If I Can't Write My Chocolate Song, I'm Going to Take a Nap","As Charlie tries to write a new jingle, Berta quits. Alan tries to convince her to come back. Leaving Charlie to get Jake ready for a dinner. And Rose tries to get Charlie's help to prepare for a date.",13 Oct. 2003,7.9,"(1,560)"
1,6,The Last Thing You Want Is to Wind Up with a Hump,Jake's soccer games lead to Alan and Charlie having encounters with teammates' sexy mothers.,20 Oct. 2003,7.8,"(1,545)"
1,7,Did You Check with the Captain of the Flying Monkeys?,Charlie and Evelyn date members of the same family.,27 Oct. 2003,7.5,"(1,465)"
1,8,"If They Do Go Either Way, They're Usually Fake","Jake sees a butterfly tattoo on the firm bottom of a surfer-chick friend of Charlie's and draws a picture of it for school. Of course, this enrages Judith until she becomes very good friends with the woman herself.",3 Nov. 2003,8.3,"(1,538)"
1,9,Twenty-five Little Pre-pubers Without a Snoot-ful,"After being tricked into helping Alan and Judith produce Jake's classroom musical, Charlie is flattered to find out that the kids know all the words to his jingles. Alan is blind-sided with divorce papers from Judith, causing strife which results in Charlie, who refuses to deal with the pre-pubers without a snootful, having to produce the play on his own. Jake is crushed when he realizes that a reconciliation between his parents may never happen.",10 Nov. 2003,7.8,"(1,450)"
1,10,"Phase One, Complete",Charlie wants to dump a female friend to whom Jake has grown attached. Alan and Rose bond over a game of Scrabble.,17 Nov. 2003,7.6,"(1,389)"
1,11,Merry Thanksgiving,"Thanksgiving winds up being the least thankful day of the year for Charlie, who has to bribe various members of his household to even come to a traditional turkey dinner. Not only are the usual feuds in evidence (leading to a turkey-carving right out of ""Psycho"") but Judith's parents are actually sympathetic to Alan and hostile to their own daughter for her ""fling"" with lesbianism.",24 Nov. 2003,8.0,"(1,509)"
1,12,"Alan Harper, Frontier Chiropractor","Seeing Judith's new look and boyfriend prompts Alan to realize that if he wants to get back into the dating scene, he will need to change his look also.",15 Dec. 2003,7.6,"(1,374)"
1,13,Camel Filters and Pheromones,Berta brings her 16 year old granddaughter to work. She poses issues for the men.,5 Jan. 2004,8.6,"(2,174)"
1,14,Sarah Like Puny Alan,Charlie tries to nurse Alan back from the flu because he needs him for a double date with sisters.,12 Jan. 2004,7.6,"(1,353)"
1,15,I Can't Afford Hyenas,Charlie's accountant Stan tries to make Charlie understand his desperate financial situation.,2 Feb. 2004,7.8,"(1,362)"
